id,author,text,created_at,retweets,favorites,hashtags,is_retweet,place,sentiment_label,sentiment_score
1888048295777272131,🦅 AC  🦅,"What my car sounds like when I try to start it on a cold morning with a dying battery. 😞

 #FlyEaglesFly #Eagles #Patrickmahomes #SuperBowl #SuperBowlLIX https://t.co/UUxeo9ZvuJ",2025-02-08 02:12:46,0,0,"[""FlyEaglesFly"", ""Eagles"", ""Patrickmahomes"", ""SuperBowl"", ""SuperBowlLIX""]",0,,NEGATIVE,0.9973402619361877
1888048445618831775,DustinClark1995,"Why the Eagles Win the Super Bowl?
1. Run Game
(Saquon + O-Line Best in NFL)
2. No Turnovers
(Eagles Protect the Football)
3. Creating Turnovers
(Eagles Defense Hunt for the Football)
#FlyEaglesFly #SuperBowl #KCvsPHI https://t.co/bcoqfR1aw9",2025-02-08 02:13:22,0,0,"[""FlyEaglesFly"", ""SuperBowl"", ""KCvsPHI""]",0,,POSITIVE,0.580671489238739
1888048774775455960,Alex Graser,"I can’t wait for this weekend, if the Eagles win it will be the second best moment in my life. Watch out future kids your about to be ranked 3rd or 4th for best moments in my life. (1st is Super Bowl LII) #Eagles #Birds #SuperBowl https://t.co/47I5pPQClT",2025-02-08 02:14:40,0,0,"[""Eagles"", ""Birds"", ""SuperBowl""]",0,,POSITIVE,0.9981675148010254
1888049863100690756,Chris Dyer,Super Bowl LIX Preview: Kansas City Chiefs vs. Philadelphia Eagles – Handicappers Hideaway https://t.co/kG02exEFkb #SuperBowlLIX #NFL #FlyEaglesFly #ChiefsKingdom,2025-02-08 02:19:00,0,0,"[""SuperBowlLIX"", ""NFL"", ""FlyEaglesFly"", ""ChiefsKingdom""]",0,,NEGATIVE,0.9877289533615112
1888050387518673407,iBeast,"3 peat loading😴

#ChiefsKingdom 
#ChiefsNation 
#ChiefsVsEagles 
#SuperBowl 
#SuperBowlLIX",2025-02-08 02:21:05,0,0,"[""ChiefsKingdom"", ""ChiefsNation"", ""ChiefsVsEagles"", ""SuperBowl"", ""SuperBowlLIX""]",0,,NEGATIVE,0.9533124566078186
1888050810321518654,His Grace GOAT targaryen,Jason J Daniel Show #139 SUPERBOWL predictions  #NFL #EAGLES #CHIEFS https://t.co/EpzZAWTbko,2025-02-08 02:22:46,0,0,"[""NFL"", ""EAGLES"", ""CHIEFS""]",0,,NEGATIVE,0.9902140498161316
1888051170515534004,Tyler Wertz,BG... please... go get 1 more!! #Eagles #FlyEaglesFly #SBLIX,2025-02-08 02:24:12,0,1,"[""Eagles"", ""FlyEaglesFly"", ""SBLIX""]",0,,NEGATIVE,0.9597169756889343
1888052654774882682,MADD California,Volunteers are the heart &amp; face of our fight to end impaired driving. James Alvarez &amp; his daughter Adalyn teamed up with AAA &amp; CHP to remind you to plan ahead for a sober ride before kickoff this weekend. #SuperBowl #Chiefs #Eagles #DesignatedDriver https://t.co/KWBv2hkqYe,2025-02-08 02:30:05,1,1,"[""SuperBowl"", ""Chiefs"", ""Eagles"", ""DesignatedDriver""]",0,,POSITIVE,0.9975036978721619
1888052829710954944,Speaker of Truth,"@gwehunt22 Have a great one, Gary! 

#zelena #FridayVibes #SuperBowl #FlyEaglesFly #ChiefsKingdom",2025-02-08 02:30:47,0,1,"[""zelena"", ""FridayVibes"", ""SuperBowl"", ""FlyEaglesFly"", ""ChiefsKingdom""]",0,,POSITIVE,0.992954432964325
1888052943653585330,"𝕏 Sports Betting, Odds, Research","is everyone and their mom on Dallas Goddert Over props for Super Bowl, or is it just me?

@Eagles @DKSportsbook @FanaticsBook @stationcasinos @SuperBookNV 

#SuperBowl #SuperBowlLIX #FlyEaglesFly #chiefskingdom https://t.co/sOy2fHOtgq",2025-02-08 02:31:14,0,0,"[""SuperBowl"", ""SuperBowlLIX"", ""FlyEaglesFly"", ""chiefskingdom""]",0,,NEGATIVE,0.9956955909729004
1888053128202731642,Kei's  Food Facts,"Co workers on that shit again 
Let's Go Eagles #Eagles #Chiefs #SuperBowl https://t.co/3M5HmXwvyR",2025-02-08 02:31:58,0,0,"[""Eagles"", ""Chiefs"", ""SuperBowl""]",0,,NEGATIVE,0.9942213296890259
1888053152236061155,Sportskeeda Pro Football,Joe Burrow is picking this team to win Super Bowl LIX! 🏆🔥🏈 #KansasCityChiefs #SuperBowlLIX #ChiefsKingdom #PatrickMahomes #NFL #GameDay #Trending #Viral #FYP #CincinnatiBengals #JoeBurrow#SuperBowl https://t.co/j2xAa27KEn,2025-02-08 02:32:04,0,0,"[""KansasCityChiefs"", ""SuperBowlLIX"", ""ChiefsKingdom"", ""PatrickMahomes"", ""NFL"", ""GameDay"", ""Trending"", ""Viral"", ""FYP"", ""CincinnatiBengals""]",0,,POSITIVE,0.9313385486602783
1888053363897401685,BettingWithJ314🔮👑,"🤐🥶

Chiefs wacking anchors and freezing bodies 

Philadelphia planes are crashing left and right. 

Chiefs three peat in the bag 🛍️ 

#SuperBowl 
#chiefskingdom 
#threepeat https://t.co/ZogEKjA2J4",2025-02-08 02:32:54,0,1,"[""SuperBowl"", ""chiefskingdom"", ""threepeat""]",0,,NEGATIVE,0.9960734844207764
1888054298837402085,naturelovegift,"🔥 Chiefs Kingdom, it’s almost time! 🔥
Kansas City is headed to the Super Bowl, and you know what that means—it’s time to gear up and get ready to celebrate like champions! 🏆❤️💛
Rep your team with these must-have items (below)🙌 #ChiefsKingdom #RunItBack #NFL #SuperBowlLIX https://t.co/MEN0I0Vdl2",2025-02-08 02:36:37,0,0,"[""ChiefsKingdom"", ""RunItBack"", ""NFL"", ""SuperBowlLIX""]",0,,POSITIVE,0.7548556923866272
1888054377274863857,215Hockey,"Holy F*ck, I want to run through a brick wall. #GoBirds #FlyEaglesFly  #avengers #SuperBowl https://t.co/ADzQ1KWjKU",2025-02-08 02:36:56,0,0,"[""GoBirds"", ""FlyEaglesFly"", ""avengers"", ""SuperBowl""]",0,,NEGATIVE,0.9959869980812073
1888055707913671067,Jacob Gilmore,Friday night before #SBLIX and I am rewatching SB LII with @NickFoles. There’s no other way. #FlyEaglesFly,2025-02-08 02:42:13,0,0,"[""SBLIX"", ""FlyEaglesFly""]",0,,NEGATIVE,0.9914708733558655
1888056038777032787,Patrick Creighton,Are you going to be butthurt like “Jerome” if the #chiefs win the #SuperBowl? #AREA45 @sportsradio610 https://t.co/eXl9PxZ0Fx,2025-02-08 02:43:32,4,3,"[""chiefs"", ""SuperBowl"", ""AREA45""]",0,,NEGATIVE,0.9817749261856079
